"","features","fold"
"236","logRelF0-H1-A3_sma3nz_amean","4"
"237","logRelF0-H1-A3_sma3nz_stddevNorm","4"
"238","F1frequency_sma3nz_stddevNorm","4"
"239","F1bandwidth_sma3nz_amean","4"
"240","F1bandwidth_sma3nz_stddevNorm","4"
"241","F1amplitudeLogRelF0_sma3nz_amean","4"
"242","F1amplitudeLogRelF0_sma3nz_stddevNorm","4"
"243","F2frequency_sma3nz_amean","4"
"244","F2frequency_sma3nz_stddevNorm","4"
"245","F2bandwidth_sma3nz_amean","4"
"246","F2amplitudeLogRelF0_sma3nz_amean","4"
"247","F2amplitudeLogRelF0_sma3nz_stddevNorm","4"
"248","F3frequency_sma3nz_amean","4"
"249","F3frequency_sma3nz_stddevNorm","4"
"250","F3bandwidth_sma3nz_amean","4"
"251","F3bandwidth_sma3nz_stddevNorm","4"
"252","F3amplitudeLogRelF0_sma3nz_amean","4"
"253","F3amplitudeLogRelF0_sma3nz_stddevNorm","4"
"254","hammarbergIndexV_sma3nz_amean","4"
"255","hammarbergIndexV_sma3nz_stddevNorm","4"
"256","slopeV0-500_sma3nz_amean","4"
"257","slopeV0-500_sma3nz_stddevNorm","4"
"258","slopeV500-1500_sma3nz_amean","4"
"259","slopeV500-1500_sma3nz_stddevNorm","4"
"260","spectralFluxV_sma3nz_amean","4"
"261","spectralFluxV_sma3nz_stddevNorm","4"
"262","mfcc1V_sma3nz_amean","4"
"263","mfcc1V_sma3nz_stddevNorm","4"
"264","mfcc2V_sma3nz_amean","4"
"265","mfcc2V_sma3nz_stddevNorm","4"
"266","mfcc3V_sma3nz_amean","4"
"267","mfcc4V_sma3nz_amean","4"
"268","alphaRatioUV_sma3nz_amean","4"
"269","hammarbergIndexUV_sma3nz_amean","4"
"270","slopeUV0-500_sma3nz_amean","4"
"271","slopeUV500-1500_sma3nz_amean","4"
"272","spectralFluxUV_sma3nz_amean","4"
"273","loudnessPeaksPerSec","4"
"274","VoicedSegmentsPerSec","4"
"275","MeanVoicedSegmentLengthSec","4"
"276","StddevVoicedSegmentLengthSec","4"
"277","MeanUnvoicedSegmentLength","4"
