"","features","fold"
"269","alphaRatioUV_sma3nz_amean","4"
"270","hammarbergIndexUV_sma3nz_amean","4"
"271","slopeUV0-500_sma3nz_amean","4"
"272","slopeUV500-1500_sma3nz_amean","4"
"273","spectralFluxUV_sma3nz_amean","4"
"274","loudnessPeaksPerSec","4"
"275","VoicedSegmentsPerSec","4"
"276","MeanVoicedSegmentLengthSec","4"
"277","StddevVoicedSegmentLengthSec","4"
"278","MeanUnvoicedSegmentLength","4"
"279","equivalentSoundLevel_dBp","4"
"280","F0semitoneFrom27.5Hz_sma3nz_amean","5"
"281","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","5"
"282","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","5"
"283","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","5"
"284","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","5"
"285","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","5"
"286","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","5"
"287","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","5"
"288","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","5"
"289","loudness_sma3_percentile20.0","5"
"290","loudness_sma3_percentile50.0","5"
"291","loudness_sma3_pctlrange0-2","5"
"292","loudness_sma3_stddevRisingSlope","5"
"293","loudness_sma3_stddevFallingSlope","5"
"294","spectralFlux_sma3_amean","5"
"295","mfcc1_sma3_amean","5"
"296","mfcc2_sma3_amean","5"
"297","mfcc2_sma3_stddevNorm","5"
"298","mfcc3_sma3_stddevNorm","5"
"299","mfcc4_sma3_amean","5"
"300","mfcc4_sma3_stddevNorm","5"
"301","jitterLocal_sma3nz_amean","5"
"302","jitterLocal_sma3nz_stddevNorm","5"
"303","shimmerLocaldB_sma3nz_amean","5"
"304","shimmerLocaldB_sma3nz_stddevNorm","5"
"305","HNRdBACF_sma3nz_stddevNorm","5"
"306","logRelF0-H1-H2_sma3nz_stddevNorm","5"
"307","logRelF0-H1-A3_sma3nz_stddevNorm","5"
"308","F1frequency_sma3nz_amean","5"
"309","F1frequency_sma3nz_stddevNorm","5"
"310","F1bandwidth_sma3nz_amean","5"
"311","F1bandwidth_sma3nz_stddevNorm","5"
"312","F1amplitudeLogRelF0_sma3nz_amean","5"
"313","F1amplitudeLogRelF0_sma3nz_stddevNorm","5"
"314","F2frequency_sma3nz_amean","5"
"315","F2frequency_sma3nz_stddevNorm","5"
"316","F2bandwidth_sma3nz_amean","5"
"317","F2bandwidth_sma3nz_stddevNorm","5"
"318","F2amplitudeLogRelF0_sma3nz_amean","5"
"319","F2amplitudeLogRelF0_sma3nz_stddevNorm","5"
"320","F3frequency_sma3nz_amean","5"
"321","F3bandwidth_sma3nz_amean","5"
"322","F3bandwidth_sma3nz_stddevNorm","5"
"323","F3amplitudeLogRelF0_sma3nz_amean","5"
"324","F3amplitudeLogRelF0_sma3nz_stddevNorm","5"
"325","alphaRatioV_sma3nz_amean","5"
"326","alphaRatioV_sma3nz_stddevNorm","5"
"327","hammarbergIndexV_sma3nz_amean","5"
"328","hammarbergIndexV_sma3nz_stddevNorm","5"
"329","slopeV0-500_sma3nz_amean","5"
"330","slopeV0-500_sma3nz_stddevNorm","5"
"331","slopeV500-1500_sma3nz_stddevNorm","5"
"332","spectralFluxV_sma3nz_amean","5"
"333","spectralFluxV_sma3nz_stddevNorm","5"
"334","mfcc1V_sma3nz_amean","5"
"335","mfcc1V_sma3nz_stddevNorm","5"
"336","mfcc2V_sma3nz_amean","5"
"337","mfcc2V_sma3nz_stddevNorm","5"
"338","mfcc3V_sma3nz_stddevNorm","5"
"339","mfcc4V_sma3nz_amean","5"
"340","alphaRatioUV_sma3nz_amean","5"
"341","slopeUV0-500_sma3nz_amean","5"
"342","slopeUV500-1500_sma3nz_amean","5"
"343","spectralFluxUV_sma3nz_amean","5"
"344","loudnessPeaksPerSec","5"
"345","VoicedSegmentsPerSec","5"
"346","MeanVoicedSegmentLengthSec","5"
"347","MeanUnvoicedSegmentLength","5"
"348","StddevUnvoicedSegmentLength","5"
"349","equivalentSoundLevel_dBp","5"
