"","features","fold"
"308","F2bandwidth_sma3nz_stddevNorm","5"
"309","F2amplitudeLogRelF0_sma3nz_amean","5"
"310","F3frequency_sma3nz_stddevNorm","5"
"311","F3bandwidth_sma3nz_amean","5"
"312","F3bandwidth_sma3nz_stddevNorm","5"
"313","F3amplitudeLogRelF0_sma3nz_amean","5"
"314","alphaRatioV_sma3nz_amean","5"
"315","alphaRatioV_sma3nz_stddevNorm","5"
"316","hammarbergIndexV_sma3nz_stddevNorm","5"
"317","slopeV0-500_sma3nz_amean","5"
"318","slopeV0-500_sma3nz_stddevNorm","5"
"319","slopeV500-1500_sma3nz_amean","5"
"320","spectralFluxV_sma3nz_amean","5"
"321","spectralFluxV_sma3nz_stddevNorm","5"
"322","mfcc1V_sma3nz_amean","5"
"323","mfcc1V_sma3nz_stddevNorm","5"
"324","mfcc2V_sma3nz_amean","5"
"325","mfcc3V_sma3nz_amean","5"
"326","mfcc3V_sma3nz_stddevNorm","5"
"327","mfcc4V_sma3nz_amean","5"
"328","alphaRatioUV_sma3nz_amean","5"
"329","hammarbergIndexUV_sma3nz_amean","5"
"330","slopeUV0-500_sma3nz_amean","5"
"331","slopeUV500-1500_sma3nz_amean","5"
"332","spectralFluxUV_sma3nz_amean","5"
"333","loudnessPeaksPerSec","5"
"334","VoicedSegmentsPerSec","5"
"335","MeanVoicedSegmentLengthSec","5"
"336","StddevVoicedSegmentLengthSec","5"
"337","MeanUnvoicedSegmentLength","5"
"338","StddevUnvoicedSegmentLength","5"
"339","equivalentSoundLevel_dBp","5"
